Number	1		2		3		4		5	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/13	N/A	8/13	N/A	8/13	N/A	8/13	N/A	8/13	N/A
	8/14	N/A	8/14	N/A	8/14	N/A	8/14	N/A	8/14	N/A
	8/15	N/A	8/15	N/A	8/15	N/A	8/15	N/A	8/15	N/A
	8/16	N/A	8/16	N/A	8/16	N/A	8/16	N/A	8/16	N/A
	8/17	N/A	8/17	N/A	8/17	N/A	8/17	N/A	8/17	N/A
	8/18	N/A	8/18	N/A	8/18	N/A	8/18	N/A	8/18	N/A
	8/19	In-Market:Fashion	8/19	In-Market:Fashion	8/19	In-Market:Fashion	8/19	N/A	8/19	N/A
	8/20	In-Market:Fashion	8/20	In-Market:Fashion	8/20	In-Market:Fashion	8/20	In-Market:Fashion	8/20	In-Market:Fashion
	8/21	In-Market:Fashion	8/21	In-Market:Fashion	8/21	In-Market:Fashion	8/21	In-Market:Fashion	8/21	In-Market:Fashion
