Number	1		2		3		4		5		6		7		8		9		10	
Initial Label	Not enough info		Not enough info		Not enough info		Not enough info		Not enough info		High school diploma		Not enough info		High school diploma		Not enough info		Not enough info	
	Time_1	Label_1	Time_2	Label_2	Time_3	Label_3	Time_4	Label_4	Time_5	Label_5	Time_6	Label_6	Time_7	Label_7	Time_8	Label_8	Time_9	Label_9	Time_10	Label_10
	Day 1	Not enough info	Day 1	Not enough info	Day 1	High school diploma	Day 1	Not enough info	Day 1	Not enough info	Day 1	High school diploma	Day 1	Not enough info	Day 1	High school diploma	Day 1	Not enough info	Day 1	Not enough info
	Day 2	Not enough info	Day 2	Not enough info	Day 2	High school diploma	Day 2	Not enough info	Day 2	Not enough info	Day 2	High school diploma	Day 2	Not enough info	Day 2	High school diploma	Day 2	Not enough info	Day 2	Not enough info
	Day 3	Not enough info	Day 3	Not enough info	Day 3	High school diploma	Day 3	Not enough info	Day 3	Not enough info	Day 3	High school diploma	Day 3	Not enough info	Day 3	High school diploma	Day 3	Not enough info	Day 3	Not enough info
	Day 4	Not enough info	Day 4	Not enough info	Day 4	High school diploma	Day 4	Not enough info	Day 4	Not enough info	Day 4	High school diploma	Day 4	Not enough info	Day 4	High school diploma	Day 4	Not enough info	Day 4	Not enough info
	Day 5	Not enough info	Day 5	Not enough info	Day 5	High school diploma	Day 5	Not enough info	Day 5	Not enough info	Day 5	High school diploma	Day 5	Not enough info	Day 5	High school diploma	Day 5	Not enough info	Day 5	Not enough info
	Day 6	Not enough info	Day 6	Not enough info	Day 6	High school diploma	Day 6	Not enough info	Day 6	Not enough info	Day 6	High school diploma	Day 6	Not enough info	Day 6	High school diploma	Day 6	Not enough info	Day 6	Not enough info
	Day 7	Not enough info	Day 7	Not enough info	Day 7	High school diploma	Day 7	Not enough info	Day 7	Not enough info	Day 7	High school diploma	Day 7	Not enough info	Day 7	High school diploma	Day 7	Not enough info	Day 7	Not enough info
	Day 8	Not enough info	Day 8	Not enough info	Day 8	High school diploma	Day 8	Not enough info	Day 8	Not enough info	Day 8	High school diploma	Day 8	Not enough info	Day 8	High school diploma	Day 8	Not enough info	Day 8	Not enough info
	Day 9	Not enough info	Day 9	Not enough info	Day 9	High school diploma	Day 9	Not enough info	Day 9	Not enough info	Day 9	High school diploma	Day 9	Not enough info	Day 9	Not enough info	Day 9	Not enough info	Day 9	Not enough info
	Day 10	Not enough info	Day 10	Not enough info	Day 10	High school diploma	Day 10	Not enough info	Day 10	Not enough info	Day 10	High school diploma	Day 10	Not enough info	Day 10	Not enough info	Day 10	Not enough info	Day 10	Not enough info
	Day 11	Not enough info	Day 11	Not enough info	Day 11	High school diploma	Day 11	Not enough info	Day 11	Not enough info	Day 11	High school diploma	Day 11	Not enough info	Day 11	Not enough info	Day 11	Not enough info	Day 11	Not enough info
	Day 12	Not enough info	Day 12	Not enough info	Day 12	High school diploma	Day 12	Not enough info	Day 12	Not enough info	Day 12	High school diploma	Day 12	Not enough info	Day 12	Not enough info	Day 12	Not enough info	Day 12	Not enough info
	Day 13	Not enough info	Day 13	Not enough info	Day 13	Not enough info	Day 13	Not enough info	Day 13	Not enough info	Day 13	High school diploma	Day 13	Not enough info	Day 13	Not enough info	Day 13	Not enough info	Day 13	Not enough info
	Day 14	Not enough info	Day 14	Not enough info	Day 14	Not enough info	Day 14	Not enough info	Day 14	Not enough info	Day 14	High school diploma	Day 14	Advanced degree	Day 14	Not enough info	Day 14	Not enough info	Day 14	Not enough info
	Day 15	Not enough info	Day 15	Not enough info	Day 15	Not enough info	Day 15	Not enough info	Day 15	Not enough info	Day 15	High school diploma	Day 15	Advanced degree	Day 15	Not enough info	Day 15	Not enough info	Day 15	Not enough info
	Day 16	Not enough info	Day 16	Not enough info	Day 16	Not enough info	Day 16	Not enough info	Day 16	Not enough info	Day 16	High school diploma	Day 16	Advanced degree	Day 16	Not enough info	Day 16	Not enough info	Day 16	Advanced degree
	Day 17	Not enough info	Day 17	Not enough info	Day 17	Not enough info	Day 17	Not enough info	Day 17	Not enough info	Day 17	High school diploma	Day 17	Advanced degree	Day 17	Not enough info	Day 17	Not enough info	Day 17	Advanced degree
	Day 18	Not enough info	Day 18	Not enough info	Day 18	Not enough info	Day 18	Advanced degree	Day 18	Not enough info	Day 18	High school diploma	Day 18	Advanced degree	Day 18	Not enough info	Day 18	Not enough info	Day 18	Advanced degree
	Day 19	Advanced degree	Day 19	Not enough info	Day 19	Not enough info	Day 19	Advanced degree	Day 19	Not enough info	Day 19	High school diploma	Day 19	Advanced degree	Day 19	Not enough info	Day 19	Not enough info	Day 19	Advanced degree
	Day 20	Advanced degree	Day 20	Not enough info	Day 20	Not enough info	Day 20	Advanced degree	Day 20	Not enough info	Day 20	High school diploma	Day 20	Advanced degree	Day 20	Not enough info	Day 20	Not enough info	Day 20	Advanced degree
	Day 21	Advanced degree	Day 21	Not enough info	Day 21	Not enough info	Day 21	Advanced degree	Day 21	Not enough info	Day 21	High school diploma	Day 21	Not enough info	Day 21	Not enough info	Day 21	Not enough info	Day 21	Advanced degree
	Day 22	Advanced degree	Day 22	Not enough info	Day 22	Not enough info	Day 22	Bachelor's degree	Day 22	Not enough info	Day 22	High school diploma	Day 22	Not enough info	Day 22	Not enough info	Day 22	Not enough info	Day 22	Not enough info
	Day 23	Advanced degree	Day 23	Not enough info	Day 23	Not enough info	Day 23	Bachelor's degree	Day 23	Advanced degree	Day 23	High school diploma	Day 23	Not enough info	Day 23	Not enough info	Day 23	Not enough info	Day 23	Not enough info
