Number	1		2		3		4		5		6		7		8		9		10	
Initial Label	Moderately high income		Moderately high income		Moderately high income		Moderately high income		Moderately high income		Moderately high income		Moderately high income		Moderately high income		Moderately high income		Moderately high income	
	Time_1	Label_1	Time_2	Label_2	Time_3	Label_3	Time_4	Label_4	Time_5	Label_5	Time_6	Label_6	Time_7	Label_7	Time_8	Label_8	Time_9	Label_9	Time_10	Label_10
	Day 1	Moderately high income	Day 1	Moderately high income	Day 1	Moderately high income	Day 1	Moderately high income	Day 1	Moderately high income	Day 1	Moderately high income	Day 1	Moderately high income	Day 1	Moderately high income	Day 1	Moderately high income	Day 1	Moderately high income
	Day 2	Moderately high income	Day 2	Moderately high income	Day 2	Moderately high income	Day 2	Moderately high income	Day 2	Moderately high income	Day 2	Moderately high income	Day 2	Moderately high income	Day 2	Moderately high income	Day 2	Moderately high income	Day 2	Moderately high income
	Day 3	Moderately high income	Day 3	Moderately high income	Day 3	Moderately high income	Day 3	Moderately high income	Day 3	Moderately high income	Day 3	Moderately high income	Day 3	Moderately high income	Day 3	Moderately high income	Day 3	Moderately high income	Day 3	Moderately high income
	Day 4	Moderately high income	Day 4	Moderately high income	Day 4	Moderately high income	Day 4	Moderately high income	Day 4	Moderately high income	Day 4	Moderately high income	Day 4	Moderately high income	Day 4	Moderately high income	Day 4	Moderately high income	Day 4	Moderately high income
	Day 5	Moderately high income	Day 5	Moderately high income	Day 5	Moderately high income	Day 5	Moderately high income	Day 5	Moderately high income	Day 5	Moderately high income	Day 5	Moderately high income	Day 5	Moderately high income	Day 5	Moderately high income	Day 5	Moderately high income
	Day 6	Moderately high income	Day 6	Moderately high income	Day 6	Moderately high income	Day 6	Moderately high income	Day 6	Moderately high income	Day 6	Moderately high income	Day 6	Moderately high income	Day 6	Moderately high income	Day 6	Moderately high income	Day 6	Moderately high income
	Day 7	Moderately high income	Day 7	Moderately high income	Day 7	Moderately high income	Day 7	Moderately high income	Day 7	Moderately high income	Day 7	Moderately high income	Day 7	Moderately high income	Day 7	Moderately high income	Day 7	Moderately high income	Day 7	Moderately high income
	Day 8	Moderately high income	Day 8	Moderately high income	Day 8	Moderately high income	Day 8	Moderately high income	Day 8	Moderately high income	Day 8	Moderately high income	Day 8	Moderately high income	Day 8	Moderately high income	Day 8	Moderately high income	Day 8	Moderately high income
	Day 9	Moderately high income	Day 9	Moderately high income	Day 9	Moderately high income	Day 9	Moderately high income	Day 9	Moderately high income	Day 9	Moderately high income	Day 9	Moderately high income	Day 9	Moderately high income	Day 9	Moderately high income	Day 9	Moderately high income
	Day 10	Moderately high income	Day 10	Moderately high income	Day 10	Moderately high income	Day 10	Moderately high income	Day 10	Moderately high income	Day 10	Moderately high income	Day 10	Moderately high income	Day 10	Moderately high income	Day 10	Moderately high income	Day 10	Moderately high income
	Day 11	Moderately high income	Day 11	Moderately high income	Day 11	Moderately high income	Day 11	Moderately high income	Day 11	Moderately high income	Day 11	Moderately high income	Day 11	Moderately high income	Day 11	Moderately high income	Day 11	Moderately high income	Day 11	Moderately high income
	Day 12	Moderately high income	Day 12	Moderately high income	Day 12	Moderately high income	Day 12	Moderately high income	Day 12	Moderately high income	Day 12	Moderately high income	Day 12	Moderately high income	Day 12	Moderately high income	Day 12	Moderately high income	Day 12	Moderately high income
	Day 13	Moderately high income	Day 13	Moderately high income	Day 13	Moderately high income	Day 13	Moderately high income	Day 13	Moderately high income	Day 13	Moderately high income	Day 13	Moderately high income	Day 13	Moderately high income	Day 13	Moderately high income	Day 13	Moderately high income
	Day 14	Moderately high income	Day 14	Moderately high income	Day 14	Moderately high income	Day 14	Moderately high income	Day 14	Moderately high income	Day 14	Moderately high income	Day 14	Moderately high income	Day 14	Moderately high income	Day 14	Moderately high income	Day 14	Moderately high income
	Day 15	Moderately high income	Day 15	Moderately high income	Day 15	Moderately high income	Day 15	Moderately high income	Day 15	Moderately high income	Day 15	Moderately high income	Day 15	Moderately high income	Day 15	Moderately high income	Day 15	Moderately high income	Day 15	Moderately high income
	Day 16	Moderately high income	Day 16	Moderately high income	Day 16	Moderately high income	Day 16	Moderately high income	Day 16	Moderately high income	Day 16	Moderately high income	Day 16	Moderately high income	Day 16	Moderately high income	Day 16	Moderately high income	Day 16	Moderately high income
	Day 17	Moderately high income	Day 17	Moderately high income	Day 17	Moderately high income	Day 17	Moderately high income	Day 17	Moderately high income	Day 17	Moderately high income	Day 17	Moderately high income	Day 17	Moderately high income	Day 17	Moderately high income	Day 17	Moderately high income
	Day 18	Moderately high income	Day 18	Moderately high income	Day 18	Moderately high income	Day 18	Moderately high income	Day 18	Moderately high income	Day 18	Moderately high income	Day 18	Moderately high income	Day 18	Moderately high income	Day 18	Moderately high income	Day 18	Moderately high income
	Day 19	Moderately high income	Day 19	Moderately high income	Day 19	Moderately high income	Day 19	Moderately high income	Day 19	Moderately high income	Day 19	Moderately high income	Day 19	Moderately high income	Day 19	Moderately high income	Day 19	Moderately high income	Day 19	Moderately high income
	Day 20	Moderately high income	Day 20	Moderately high income	Day 20	Moderately high income	Day 20	Moderately high income	Day 20	Moderately high income	Day 20	Moderately high income	Day 20	Moderately high income	Day 20	Moderately high income	Day 20	Moderately high income	Day 20	Moderately high income
	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income
	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income
