Number	1		2		3		4		5		6		7		8		9		10	
Initial Label	Not parents		Not parents		Not parents		Not parents		Not parents		Not parents		Not parents		Not parents		Not parents		Not parents	
	Time_1	Label_1	Time_2	Label_2	Time_3	Label_3	Time_4	Label_4	Time_5	Label_5	Time_6	Label_6	Time_7	Label_7	Time_8	Label_8	Time_9	Label_9	Time_10	Label_10
	Day 1	Not parents	Day 1	Not parents	Day 1	Not parents	Day 1	Not parents	Day 1	Not parents	Day 1	Not parents	Day 1	Not parents	Day 1	Not parents	Day 1	Not parents	Day 1	Not parents
	Day 2	Not parents	Day 2	Not parents	Day 2	Not parents	Day 2	Not parents	Day 2	Not parents	Day 2	Not parents	Day 2	Not parents	Day 2	Not parents	Day 2	Not parents	Day 2	Not parents
	Day 3	Not parents	Day 3	Not parents	Day 3	Not parents	Day 3	Not parents	Day 3	Not parents	Day 3	Not parents	Day 3	Not parents	Day 3	Not parents	Day 3	Not parents	Day 3	Not parents
	Day 4	Not parents	Day 4	Not parents	Day 4	Not parents	Day 4	Not parents	Day 4	Not parents	Day 4	Not parents	Day 4	Not parents	Day 4	Not parents	Day 4	Not parents	Day 4	Not parents
	Day 5	Not parents	Day 5	Not parents	Day 5	Not parents	Day 5	Not parents	Day 5	Not parents	Day 5	Not parents	Day 5	Not parents	Day 5	Not parents	Day 5	Not parents	Day 5	Not parents
	Day 6	Not parents	Day 6	Not parents	Day 6	Not parents	Day 6	Not parents	Day 6	Not parents	Day 6	Not parents	Day 6	Not parents	Day 6	Not parents	Day 6	Not parents	Day 6	Not parents
	Day 7	Not parents	Day 7	Not parents	Day 7	Not parents	Day 7	Not parents	Day 7	Not parents	Day 7	Not parents	Day 7	Not parents	Day 7	Not parents	Day 7	Not parents	Day 7	Not parents
	Day 8	Not parents	Day 8	Not parents	Day 8	Not parents	Day 8	Not parents	Day 8	Not parents	Day 8	Not parents	Day 8	Not parents	Day 8	Not parents	Day 8	Not parents	Day 8	Not parents
	Day 9	Not parents	Day 9	Not parents	Day 9	Not parents	Day 9	Not parents	Day 9	Not parents	Day 9	Not parents	Day 9	Not parents	Day 9	Not parents	Day 9	Not parents	Day 9	Not parents
	Day 10	Not parents	Day 10	Not parents	Day 10	Not parents	Day 10	Not parents	Day 10	Not parents	Day 10	Not parents	Day 10	Not parents	Day 10	Not parents	Day 10	Not parents	Day 10	Not parents
	Day 11	Not parents	Day 11	Not parents	Day 11	Not parents	Day 11	Not parents	Day 11	Not parents	Day 11	Not parents	Day 11	Not parents	Day 11	Not parents	Day 11	Not parents	Day 11	Not parents
	Day 12	Not parents	Day 12	Not parents	Day 12	Not parents	Day 12	Not parents	Day 12	Not parents	Day 12	Not parents	Day 12	Not parents	Day 12	Not parents	Day 12	Not parents	Day 12	Not parents
	Day 13	Not parents	Day 13	Not parents	Day 13	Not parents	Day 13	Not parents	Day 13	Not parents	Day 13	Not parents	Day 13	Not parents	Day 13	Not parents	Day 13	Not parents	Day 13	Not parents
	Day 14	Not parents	Day 14	Not parents	Day 14	Not parents	Day 14	Not parents	Day 14	Not parents	Day 14	Not parents	Day 14	Not parents	Day 14	Not parents	Day 14	Not parents	Day 14	Not parents
	Day 15	Not parents	Day 15	Not parents	Day 15	Not parents	Day 15	Not parents	Day 15	Not parents	Day 15	Not parents	Day 15	Not parents	Day 15	Not parents	Day 15	Not parents	Day 15	Not parents
