Number	1		2		3		4		5		6		7		8		9		10	
Initial Label	Homeowners		Homeowners		Homeowners		Homeowners		Homeowners		Homeowners		Homeowners		Homeowners		Homeowners		Homeowners	
	Time_1	Label_1	Time_2	Label_2	Time_3	Label_3	Time_4	Label_4	Time_5	Label_5	Time_6	Label_6	Time_7	Label_7	Time_8	Label_8	Time_9	Label_9	Time_10	Label_10
	Day 1	Homeowners	Day 1	Homeowners	Day 1	Homeowners	Day 1	Homeowners	Day 1	Homeowners	Day 1	Homeowners	Day 1	Homeowners	Day 1	Homeowners	Day 1	Homeowners	Day 1	Homeowners
	Day 2	Homeowners	Day 2	Homeowners	Day 2	Homeowners	Day 2	Homeowners	Day 2	Homeowners	Day 2	Homeowners	Day 2	Homeowners	Day 2	Homeowners	Day 2	Homeowners	Day 2	Homeowners
	Day 3	Homeowners	Day 3	Homeowners	Day 3	Homeowners	Day 3	Homeowners	Day 3	Homeowners	Day 3	Homeowners	Day 3	Homeowners	Day 3	Homeowners	Day 3	Homeowners	Day 3	Homeowners
	Day 4	Homeowners	Day 4	Homeowners	Day 4	Homeowners	Day 4	Homeowners	Day 4	Homeowners	Day 4	Homeowners	Day 4	Homeowners	Day 4	Homeowners	Day 4	Homeowners	Day 4	Homeowners
	Day 5	Homeowners	Day 5	Homeowners	Day 5	Homeowners	Day 5	Homeowners	Day 5	Homeowners	Day 5	Homeowners	Day 5	Homeowners	Day 5	Homeowners	Day 5	Homeowners	Day 5	Homeowners
	Day 6	Homeowners	Day 6	Not enough info	Day 6	Homeowners	Day 6	Homeowners	Day 6	Homeowners	Day 6	Homeowners	Day 6	Homeowners	Day 6	Homeowners	Day 6	Homeowners	Day 6	Homeowners
	Day 7	Homeowners	Day 7	Not enough info	Day 7	Homeowners	Day 7	Homeowners	Day 7	Homeowners	Day 7	Homeowners	Day 7	Homeowners	Day 7	Homeowners	Day 7	Homeowners	Day 7	Homeowners
	Day 8	Homeowners	Day 8	Not enough info	Day 8	Homeowners	Day 8	Homeowners	Day 8	Homeowners	Day 8	Homeowners	Day 8	Homeowners	Day 8	Homeowners	Day 8	Homeowners	Day 8	Homeowners
	Day 9	Homeowners	Day 9	Not enough info	Day 9	Homeowners	Day 9	Homeowners	Day 9	Homeowners	Day 9	Homeowners	Day 9	Homeowners	Day 9	Homeowners	Day 9	Homeowners	Day 9	Homeowners
	Day 10	Homeowners	Day 10	Not enough info	Day 10	Homeowners	Day 10	Homeowners	Day 10	Homeowners	Day 10	Homeowners	Day 10	Homeowners	Day 10	Homeowners	Day 10	Homeowners	Day 10	Homeowners
	Day 11	Homeowners	Day 11	Not enough info	Day 11	Homeowners	Day 11	Homeowners	Day 11	Homeowners	Day 11	Homeowners	Day 11	Homeowners	Day 11	Homeowners	Day 11	Homeowners	Day 11	Homeowners
	Day 12	Homeowners	Day 12	Not enough info	Day 12	Homeowners	Day 12	Homeowners	Day 12	Homeowners	Day 12	Homeowners	Day 12	Homeowners	Day 12	Homeowners	Day 12	Homeowners	Day 12	Homeowners
	Day 13	Homeowners	Day 13	Not enough info	Day 13	Homeowners	Day 13	Homeowners	Day 13	Homeowners	Day 13	Homeowners	Day 13	Homeowners	Day 13	Homeowners	Day 13	Homeowners	Day 13	Homeowners
	Day 14	Homeowners	Day 14	Not enough info	Day 14	Homeowners	Day 14	Homeowners	Day 14	Homeowners	Day 14	Homeowners	Day 14	Homeowners	Day 14	Homeowners	Day 14	Homeowners	Day 14	Homeowners
	Day 15	Homeowners	Day 15	Not enough info	Day 15	Homeowners	Day 15	Homeowners	Day 15	Homeowners	Day 15	Homeowners	Day 15	Homeowners	Day 15	Homeowners	Day 15	Homeowners	Day 15	Homeowners
	Day 16	Homeowners	Day 16	Not enough info	Day 16	Homeowners	Day 16	Homeowners	Day 16	Homeowners	Day 16	Homeowners	Day 16	Homeowners	Day 16	Homeowners	Day 16	Homeowners	Day 16	Homeowners
	Day 17	Homeowners	Day 17	Not enough info	Day 17	Homeowners	Day 17	Homeowners	Day 17	Homeowners	Day 17	Renters	Day 17	Homeowners	Day 17	Renters	Day 17	Renters	Day 17	Homeowners
	Day 18	Homeowners	Day 18	Not enough info	Day 18	Homeowners	Day 18	Homeowners	Day 18	Homeowners	Day 18	Renters	Day 18	Homeowners	Day 18	Renters	Day 18	Renters	Day 18	Homeowners
	Day 19	Renters	Day 19	Renters	Day 19	Renters	Day 19	Renters	Day 19	Homeowners	Day 19	Renters	Day 19	Homeowners	Day 19	Renters	Day 19	Renters	Day 19	Homeowners
	Day 20	Renters	Day 20	Renters	Day 20	Renters	Day 20	Renters	Day 20	Homeowners	Day 20	Renters	Day 20	Homeowners	Day 20	Renters	Day 20	Renters	Day 20	Homeowners
	Day 21	Renters	Day 21	Renters	Day 21	Renters	Day 21	Renters	Day 21	Renters	Day 21	Renters	Day 21	Homeowners	Day 21	Renters	Day 21	Renters	Day 21	Homeowners
	Day 22	Renters	Day 22	Renters	Day 22	Renters	Day 22	Renters	Day 22	Renters	Day 22	Renters	Day 22	Homeowners	Day 22	Renters	Day 22	Renters	Day 22	Homeowners
	Day 23	Renters	Day 23	Renters	Day 23	Renters	Day 23	Renters	Day 23	Renters	Day 23	Renters	Day 23	Homeowners	Day 23	Renters	Day 23	Renters	Day 23	Homeowners
	Day 24	Renters	Day 24	Renters	Day 24	Renters	Day 24	Renters	Day 24	Renters	Day 24	Renters	Day 24	Renters	Day 24	Not enough info	Day 24	Renters	Day 24	Renters
	Day 25	Renters	Day 25	Renters	Day 25	Renters	Day 25	Renters	Day 25	Renters	Day 25	Renters	Day 25	Renters	Day 25	Not enough info	Day 25	Not enough info	Day 25	Renters
	Day 26	Not enough info	Day 26	Renters	Day 26	Renters	Day 26	Renters	Day 26	Renters	Day 26	Renters	Day 26	Renters	Day 26	Not enough info	Day 26	Not enough info	Day 26	Renters
