Number	1		2		3		4		5	
Initial Label	Not enough info		Not enough info		Not enough info		Not enough info		Not enough info	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/6	Bachelor's degree	8/6	Not enough info	8/6	Advanced degree	8/6	Not enough info	8/6	Not enough info
	8/7	Bachelor's degree	8/7	Not enough info	8/7	Advanced degree	8/7	Not enough info	8/7	Not enough info
	8/8	Bachelor's degree	8/8	Not enough info	8/8	Advanced degree	8/8	Not enough info	8/8	Not enough info
	8/9	Bachelor's degree	8/9	Not enough info	8/9	Advanced degree	8/9	Not enough info	8/9	Not enough info
	8/10	Bachelor's degree	8/10	Not enough info	8/10	Advanced degree	8/10	Advanced degree	8/10	Not enough info
	8/11	Bachelor's degree	8/11	Not enough info	8/11	Advanced degree	8/11	Not enough info	8/11	Advanced degree
	8/12	Bachelor's degree	8/12	Not enough info	8/12	Advanced degree	8/12	Not enough info	8/12	Not enough info
	8/13	Bachelor's degree	8/13	Not enough info	8/13	Advanced degree	8/13	Not enough info	8/13	Not enough info
	8/14	Bachelor's degree	8/14	Not enough info	8/14	Advanced degree	8/14	Not enough info	8/14	Not enough info
	8/15	Bachelor's degree	8/15	Not enough info	8/15	Advanced degree	8/15	Not enough info	8/15	Not enough info
