Number	1		2		3		4		5	
Initial Label	Not enough info		Not enough info		Not enough info		Not enough info		Not enough info	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/6	Moderately high income	8/6	Moderately high income	8/6	Moderately high income	8/6	Moderately high income	8/6	Moderately high income
	8/7	Moderately high income	8/7	Moderately high income	8/7	Moderately high income	8/7	Moderately high income	8/7	Moderately high income
	8/8	Moderately high income	8/8	Moderately high income	8/8	Moderately high income	8/8	Moderately high income	8/8	Moderately high income
	8/9	Moderately high income	8/9	Moderately high income	8/9	Moderately high income	8/9	Moderately high income	8/9	Moderately high income
	8/10	Moderately high income	8/10	Moderately high income	8/10	Moderately high income	8/10	Moderately high income	8/10	Moderately high income
	8/11	Moderately high income	8/11	Moderately high income	8/11	Moderately high income	8/11	Moderately high income	8/11	Moderately high income
	8/12	Moderately high income	8/12	Moderately high income	8/12	Moderately high income	8/12	Moderately high income	8/12	Moderately high income
	8/13	Moderately high income	8/13	Moderately high income	8/13	Moderately high income	8/13	Moderately high income	8/13	Moderately high income
	8/14	Moderately high income	8/14	Moderately high income	8/14	Moderately high income	8/14	Moderately high income	8/14	Moderately high income
	8/15	Moderately high income	8/15	Moderately high income	8/15	Moderately high income	8/15	Moderately high income	8/15	Moderately high income
