Number	1		2		3		4		5	
Initial Label	Not enough info		Not enough info		Not enough info		Not enough info		Not enough info	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/6	Not enough info	8/6	Not enough info	8/6	Not enough info	8/6	Not enough info	8/6	Not enough info
	8/7	Not enough info	8/7	Not enough info	8/7	Not enough info	8/7	Not enough info	8/7	Not enough info
	8/8	Not enough info	8/8	Not enough info	8/8	Not enough info	8/8	Not enough info	8/8	Not enough info
	8/9	Not enough info	8/9	Not enough info	8/9	Not enough info	8/9	Not enough info	8/9	Not enough info
	8/10	Not enough info	8/10	Not enough info	8/10	Not enough info	8/10	Not enough info	8/10	Not enough info
	8/11	Not enough info	8/11	Not enough info	8/11	Not enough info	8/11	Not enough info	8/11	Not enough info
	8/12	Not enough info	8/12	Not enough info	8/12	Not enough info	8/12	Not enough info	8/12	Not enough info
	8/13	Not enough info	8/13	Not enough info	8/13	Not enough info	8/13	Not enough info	8/13	Not enough info
	8/14	Not enough info	8/14	Not enough info	8/14	Not enough info	8/14	Not enough info	8/14	Not enough info
	8/15	Not enough info	8/15	Not enough info	8/15	Not enough info	8/15	Not enough info	8/15	Not enough info
