Number	1		2		3		4		5	
Initial Label	Not enough info		Not enough info		Not enough info		Not enough info		Not enough info	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/6	Advanced degree	8/6	Not enough info	8/6	Advanced degree	8/6	Advanced degree	8/6	Advanced degree
	8/7	Advanced degree	8/7	Not enough info	8/7	Advanced degree	8/7	Advanced degree	8/7	Advanced degree
	8/8	Advanced degree	8/8	Not enough info	8/8	Advanced degree	8/8	Advanced degree	8/8	Advanced degree
	8/9	Advanced degree	8/9	Not enough info	8/9	Advanced degree	8/9	Advanced degree	8/9	Advanced degree
	8/10	Advanced degree	8/10	Not enough info	8/10	Advanced degree	8/10	Advanced degree	8/10	Advanced degree
	8/11	Advanced degree	8/11	High school diploma	8/11	Advanced degree	8/11	Advanced degree	8/11	Advanced degree
	8/12	Advanced degree	8/12	High school diploma	8/12	Advanced degree	8/12	Advanced degree	8/12	Advanced degree
	8/13	Advanced degree	8/13	High school diploma	8/13	Advanced degree	8/13	Advanced degree	8/13	Advanced degree
	8/14	Advanced degree	8/14	High school diploma	8/14	Advanced degree	8/14	Advanced degree	8/14	Advanced degree
	8/15	Advanced degree	8/15	High school diploma	8/15	Advanced degree	8/15	Advanced degree	8/15	Advanced degree
