Number	1		2		3		4		5	
Initial Label	Not enough info		Not enough info		Not enough info		Not enough info		Not enough info	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/6	Homeowners	8/6	Homeowners	8/6	Homeowners	8/6	Homeowners	8/6	Homeowners
	8/7	Homeowners	8/7	Homeowners	8/7	Homeowners	8/7	Homeowners	8/7	Homeowners
	8/8	Homeowners	8/8	Homeowners	8/8	Homeowners	8/8	Homeowners	8/8	Homeowners
	8/9	Homeowners	8/9	Homeowners	8/9	Homeowners	8/9	Homeowners	8/9	Homeowners
	8/10	Homeowners	8/10	Homeowners	8/10	Homeowners	8/10	Homeowners	8/10	Homeowners
	8/11	Homeowners	8/11	Homeowners	8/11	Homeowners	8/11	Homeowners	8/11	Homeowners
	8/12	Homeowners	8/12	Homeowners	8/12	Homeowners	8/12	Homeowners	8/12	Homeowners
	8/13	Homeowners	8/13	Homeowners	8/13	Homeowners	8/13	Homeowners	8/13	Homeowners
	8/14	Homeowners	8/14	Homeowners	8/14	Homeowners	8/14	Homeowners	8/14	Homeowners
	8/15	Homeowners	8/15	Homeowners	8/15	Homeowners	8/15	Homeowners	8/15	Homeowners
