Number	1		2		3		4		5	
Initial Label	Not enough info		Not parents		Not parents		Not parents		Not parents	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/8	Not parents	8/8	Not parents	8/8	Not parents	8/8	Not parents	8/8	Not parents
	8/9	Not parents	8/9	Not parents	8/9	Not parents	8/9	Not parents	8/9	Not parents
	8/10	Not parents	8/10	Not parents	8/10	Not parents	8/10	Not parents	8/10	Not parents
	8/11	Not parents	8/11	Not parents	8/11	Not parents	8/11	Not parents	8/11	Not parents
	8/12	Not parents	8/12	Not parents	8/12	Not parents	8/12	Not parents	8/12	Not parents
	8/13	Not parents	8/13	Not parents	8/13	Not parents	8/13	Not parents	8/13	Not parents
	8/14	Not parents	8/14	Not parents	8/14	Not parents	8/14	Not parents	8/14	Not parents
	8/15	Not parents	8/15	Not parents	8/15	Not parents	8/15	Not parents	8/15	Not parents
