Number	1		2		3		4		5	
Initial Label	Not enough info		Not enough info		Not enough info		Not enough info		Not enough info	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/6	Renters	8/6	Renters	8/6	Renters	8/6	Renters	8/6	Renters
	8/7	Renters	8/7	Renters	8/7	Renters	8/7	Renters	8/7	Renters
	8/8	Renters	8/8	Renters	8/8	Renters	8/8	Renters	8/8	Renters
	8/9	Renters	8/9	Renters	8/9	Renters	8/9	Renters	8/9	Renters
	8/10	Renters	8/10	Renters	8/10	Renters	8/10	Renters	8/10	Renters
	8/11	Renters	8/11	Renters	8/11	Renters	8/11	Renters	8/11	Renters
	8/12	Renters	8/12	Renters	8/12	Renters	8/12	Renters	8/12	Renters
	8/13	Renters	8/13	Renters	8/13	Renters	8/13	Renters	8/13	Renters
	8/14	Renters	8/14	Renters	8/14	Renters	8/14	Renters	8/14	Renters
	8/15	Renters	8/15	Renters	8/15	Renters	8/15	Renters	8/15	Renters
