Number	1		2		3		4		5	
Initial Label	In a relationship		In a relationship		Not enough info		Not enough info		Not enough info	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/1	Single	8/1	Single	8/1	Single	8/1	In a relationship	8/1	In a relationship
	8/2	Single	8/2	Single	8/2	Single	8/2	In a relationship	8/2	In a relationship
	8/3	Single	8/3	Single	8/3	Single	8/3	In a relationship	8/3	In a relationship
	8/4	Single	8/4	Single	8/4	Single	8/4	In a relationship	8/4	In a relationship
	8/5	Single	8/5	Single	8/5	Single	8/5	In a relationship	8/5	In a relationship
	8/6	Single	8/6	Single	8/6	Single	8/6	In a relationship	8/6	In a relationship
	8/7	Single	8/7	Single	8/7	Single	8/7	In a relationship	8/7	Not enough info
	8/8	Single	8/8	Single	8/8	Single	8/8	In a relationship	8/8	Not enough info
	8/9	Single	8/9	Single	8/9	Single	8/9	In a relationship	8/9	Not enough info
	8/10	Single	8/10	Single	8/10	Single	8/10	In a relationship	8/10	Not enough info
	8/11	Single	8/11	Single	8/11	Single	8/11	In a relationship	8/11	Not enough info
	8/12	Single	8/12	Single	8/12	Single	8/12	In a relationship	8/12	Not enough info
	8/13	Single	8/13	Single	8/13	Single	8/13	In a relationship	8/13	Not enough info
	8/14	Single	8/14	Single	8/14	Single	8/14	In a relationship	8/14	Not enough info
	8/15	Single	8/15	Single	8/15	Single	8/15	In a relationship	8/15	Not enough info
